,Hotel_name,description,reviews,average_rating,class,Budget
0,Swahili Beach,3.5 km from center:Beachfront:Featuring a private beach area and water sports facilities:Swahili Beach is located in Diani Beach:656 feet from Nakumatt Diani and an 11-minute walk from The Diani Beach Shopping Center.,Excellent,9.454545455,Luxury,$472.73
1,The Villa Luxury Suites Hotel,4 km from center:650 m from beach:Offering an outdoor pool and restaurant:The Villa is set in Diani Beach in the Coast Region:2297 feet from The Diani Beach Shopping Center.,Excellent,9.209302326,Luxury,$460.47
2,Ocean Village Club (Adults Only),,Good,8.893617021,Mid range,$444.68
3,Baobab Beach Resort & Spa,1.5 km from center:Beachfront:Baobab Beach Resort & Spa offers accommodations in Diani Beach. With a lush garden:the resort overlooks the Indian Ocean and offers a 3-tier pool:a spa center and a selection of restaurants.,Excellent,9.317073171,Luxury,$465.85
4,V-Szameitat Homes,1.5 km from center:Beachfront:Located a few steps from Diani Beach:V-Szameitat Homes offers an outdoor swimming pool:a garden and air-conditioned accommodations with a balcony and free WiFi.,Average,7.4,Budget,$370.00
5,Fiorella Beach House,Diani Beach:3 km from center:Travel Sustainable property:Located a 2-minute walk from Diani Beach:Fiorella Beach House,Good,8.333333333,Mid range,$416.67
6,Aestus Villas Resort,5.2 km from center:400 m from beach:Offering a garden and outdoor pool:Estus Villas Resort is located in Diani Beach:1.5 mi from Colobus Conservation. Kaya Kinondo Sacred Forest is 2.2 mi from the property.,Average,7.924,Budget,$396.20
7,Aqua Resort,,Excellent,9.06122449,Luxury,$453.06
8,Safari Beach Hotel,1.1 km from center:Beachfront:Located in Diani Beach:a 2-minute walk from Diani Beach:Safari Beach Hotel has accommodations with a garden,Good,8.19047619,Mid range,$409.52
9,Diani Reef Beach Resort & Spa,,Average,6.243902439,Budget,$312.20
10,Tradewinds Lodge,,Average,7.9,Budget,$395.00
11,Amani Luxury Apartments,,Good,8.181818182,Mid range,$409.09
12,Coconut Village Beach Resort,,Excellent,9.024390244,Luxury,$451.22
13,Blue Marlin Beach Hotel,,Good,8.976190476,Mid range,$448.81
14,African Dream Cottages - Diani Beach,2 km from center:450 m from beach:Just 19 mi south of Mombasa:African Dream Cottages - Diani Beach is located in Diani close to the beach. It offers an outdoor pool:restaurant and a bar.,Excellent,9.095238095,Luxury,$454.76
15,Upani in Diani,5.1 km from center:500 m from beach:Boasting a private garden as well as a terrace:Upani in Diani is located in Diani Beach:1.6 mi from KFI Supermarket. The property is located 3.1 mi from Seacrest Primary School.,Good,8.5,Mid range,$425.00
16,Flamboyant Diani Beach,0.9 km from center:Beachfront:With garden views:Flamboyant Diani Beach is located in Diani Beach and has a restaurant:a concierge service,Excellent,9.285714286,Luxury,$464.29
